개발 Phase,기간,IA 대분류,IA 중분류,우선순위,비고
Week 0-1,환경세팅&학습,공통 (Global),헤더/레이아웃/푸터,P0,반응형 디자인 세팅 포함
Week 2-3,핵심 CRUD,인증 (Auth),로그인,P0,JWT 토큰 발급 (회원가입 UI 제외)
Week 2-3,핵심 CRUD,인증 (Auth),회원가입,P1,시연에서 제외 (테스트 계정만)
Week 2-3,핵심 CRUD,사용자 (User),마이페이지 > 내 정보 관리,P1,기본 프로필만
Week 2-3,핵심 CRUD,홈 (Home),메인 > 히어로 배너,P1,기본 슬라이드만
Week 2-3,핵심 CRUD,홈 (Home),메인 > 카테고리 탐색,P1,하드코딩된 카테고리
Week 2-3,핵심 CRUD,홈 (Home),메인 > 추천 모임,P1,더미 데이터
Week 2-3,핵심 CRUD,모임 생성 (Create),전체,P0,기본 정보 + 회비 설정만
Week 2-3,핵심 CRUD,모임 상세 - 공개 (Public),모임 정보,P0,가입 전 정보 조회
Week 2-3,핵심 CRUD,모임 상세 - 멤버 (Member),대시보드,P0,잔액/멤버 목록만
Week 4-5,투표+장부+검색,모임 탐색 (Discovery),검색,P0,Elasticsearch 연동
Week 4-5,투표+장부+검색,모임 탐색 (Discovery),필터,P1,카테고리 필터만
Week 4-5,투표+장부+검색,모임 탐색 (Discovery),모임 리스트,P0,검색 결과 표시
Week 4-5,투표+장부+검색,모임 상세 - 멤버 (Member),회비 관리 > 장부,P0,입출금 내역 CRUD
Week 4-5,투표+장부+검색,모임 상세 - 멤버 (Member),출금 > 출금 신청,P0,지출 요청 등록
Week 4-5,투표+장부+검색,모임 상세 - 멤버 (Member),출금 > 승인 관리,P0,투표 기반 승인
Week 6-7,Recharts+Django,사용자 (User),마이페이지 > 내 정보 관리,P0,재정 프로필 입력 (핵심 미션)
Week 6-7,Recharts+Django,모임 상세 - 멤버 (Member),회비 관리 > 통계,P0,Django 분석 연동
Week 6-7,Recharts+Django,모임 상세 - 멤버 (Member),회비 관리 > 지출 내역,P0,Recharts Line/Pie Chart
Week 8,SNS 기능,모임 상세 - 공개 (Public),미리보기 > 최근 소식,P1,가입 전 피드 미리보기
Week 8,SNS 기능,모임 상세 - 멤버 (Member),소식 > 게시판,P1,텍스트만 (이미지 제외)
Week 8,SNS 기능,모임 상세 - 멤버 (Member),소식 > 댓글/대댓글,P1,기본 댓글만
Week 8,SNS 기능,모임 상세 - 멤버 (Member),소식 > 공지사항,P0,CP 전용 핀 고정
Week 4-5,투표+장부+검색,모임 상세 - 멤버 (Member),일정 > 캘린더 뷰,P1,월별 캘린더
Week 4-5,투표+장부+검색,모임 상세 - 멤버 (Member),일정 > 일정 목록,P1,다가오는 일정
Week 4-5,투표+장부+검색,모임 상세 - 공개 (Public),미리보기 > 예정 일정,P1,가입 전 일정 미리보기
Week 2-3,핵심 CRUD,나의 모임 (My Groups),모임 목록,P0,가입한 모임 리스트
Week 2-3,핵심 CRUD,나의 모임 (My Groups),역할 표시,P0,CP/멤버 뱃지
Week 2-3,핵심 CRUD,사용자 (User),충전 > 충전하기,P1,기본 충전 UI만
Week 2-3,핵심 CRUD,사용자 (User),충전 > 결제 수단 선택,P1,PG 연동 (간소화)
시연 제외,Demo Day 이후,사용자 (User),충전 > 결제 내역,P2,Demo Day 제외
시연 제외,Demo Day 이후,사용자 (User),알림,P2,Demo Day 제외
시연 제외,Demo Day 이후,나의 모임 (My Groups),관심 모임,P2,Demo Day 제외
시연 제외,Demo Day 이후,나의 모임 (My Groups),대기 중 신청,P2,Demo Day 제외
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),멤버 > 멤버 리스트,P1,기본 목록만
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),멤버 > 멤버 관리,P2,추방 투표 제외
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),설정 > 모임 정보 수정,P2,Demo Day 제외
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),설정 > 모임 탈퇴,P2,Demo Day 제외
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),설정 > 모임 삭제,P2,Demo Day 제외
시연 제외,Demo Day 이후,모임 생성 (Create),가입 조건 > 제한 설정,P1,연령/성별/지역 제한 (간소화)
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),일정 > 일정 생성,P2,Demo Day 제외
시연 제외,Demo Day 이후,모임 상세 - 멤버 (Member),일정 > 참석 투표,P2,Demo Day 제외
Week 6-7,Recharts+Django,홈 (Home),메인 > 추천 모임,P0,재정 기반 추천 (Django 연동)