No,기능유형,난이도,수정내용,수정여부,업무 구분 (대분류),업무 구분 (소분류),업무 구분 (중분류),요구사항 내용,요구사항명,중요도
1,기능,중,,No,사용자 관리,로그인,인증,아이디/비밀번호로 로그인 가능,일반 로그인,필수
2,기능,중,,No,사용자 관리,로그인,인증,카카오/ 구글/ 네이버로 로그인 가능,소셜 로그인,필수
3,기능,낮음,,No,사용자 관리,로그인,인증,체크 시 자동으로 로그인 유지,자동로그인,높음
4,UI / UX,낮음,,No,사용자 관리,로그인,인증,잘못된 정보 입력 시 404 페이지,로그인 실패 처리,필수
5,기능,중,,No,사용자 관리,로그인,인증,이메일 인증으로 비밀번호 재설정,비밀번호 찾기,높음
6,기능,중,,No,사용자 관리,로그인,인증,같은 계정으로 다중 로그인 불가,중복 로그인 방지,높음
7,기능,낮음,,No,사용자 관리,로그인,인증,로그아웃 버튼으로 세션 종료,로그아웃 기능,필수
8,기능,중,,No,사용자 관리,로그인,인증,신규 계정 생성 기능,회원가입,필수
9,기능,낮음,,No,사용자 관리,로그인,인증,로그인 후 비밀번호 변경 가능,비밀번호 변경,높음
10,UI / UX,낮음,,No,사용자 관리,기본정보 입력,회원가입,아이디/ 비밀번호/ 이메일/ 이름/ 전화번호 입력 화면,회원가입 폼,필수
11,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,입력한 아이디 중복 여부 실시간 확인,아이디 중복 확인,필수
12,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,아이디 형식 검증 (길이/ 특수문자 등),아이디 유효성 검사,필수
13,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,비밀번호 강도 검증 (대소문자/ 숫자/ 특수문자 포함),비밀번호 유효성 검사,필수
14,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,입력한 비밀번호와 재확인 일치 여부 확인,비밀번호 재확인,필수
15,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,이메일 형식 검증,이메일 유효성 검사,필수
16,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,전화번호 형식 검증,전화번호 유효성 검사,높음
17,데이터,중,,No,사용자 관리,이메일 인증,회원가입,입력 이메일로 인증 메일 발송,인증 이메일 발송,필수
18,기능,중,,No,사용자 관리,이메일 인증,회원가입,이메일의 인증 링크 클릭으로 이메일 인증 완료,인증 링크 클릭,필수
19,기능,중,,No,사용자 관리,이메일 인증,회원가입,이메일로 받은 인증 코드 입력 방식,인증 코드 입력,높음
20,데이터,중,,No,사용자 관리,이메일 인증,회원가입,인증 코드 유효 시간 설정 (예: 10분),인증 시간 제한,중간
21,기능,낮음,,No,사용자 관리,약관동의,회원가입,이용약관 동의 필수,이용약관 동의,필수
22,기능,낮음,,No,사용자 관리,약관동의,회원가입,개인정보처리방침 동의 필수,개인정보처리방침 동의,필수
23,기능,낮음,,No,사용자 관리,약관동의,회원가입,마케팅 이메일/SMS 수신 동의 선택,마케팅 수신 동의,높음
24,UI / UX,낮음,,No,사용자 관리,가입 완료,회원가입,모든 정보 입력 후 가입 완료 메시지 표시,회원가입 완료,필수
25,기능,낮음,,No,사용자 관리,가입 완료,회원가입,회원가입 완료 후 자동으로 로그인 진행,자동 로그인,중간
26,UI / UX,낮음,,No,사용자 관리,오류 처리,회원가입,중복 아이디 입력 시 오류 메시지 표시,중복 아이디 오류,필수
27,UI / UX,낮음,,No,사용자 관리,오류 처리,회원가입,유효하지 않은 입력값에 대한 오류 메시지 표시,입력값 오류 처리,필수
28,UI / UX,중,,No,사용자 관리,오류 처리,회원가입,이메일 인증 실패 시 재전송 옵션 제공,인증 실패 처리,필수
29,UI / UX,중,,No,사용자 관리,오류 처리,회원가입,가입 중 서버 오류 발생 시 처리 방안,서버 오류 처리,높음
30,UI / UX,낮음,,No,사용자 관리,아이디 찾기,계정찾기,아이디 찾기 폼 (이메일 또는 전화번호 입력),아이디 찾기 페이지,필수
31,데이터,중,,No,사용자 관리,아이디 찾기,계정찾기,가입한 이메일 입력으로 아이디 조회,이메일로 아이디 찾기,필수
32,데이터,중,,No,사용자 관리,아이디 찾기,계정찾기,가입한 전화번호 입력으로 아이디 조회,전화번호로 아이디 찾기,높음
33,데이터,중,,No,사용자 관리,아이디 찾기,계정찾기,조회된 아이디를 이메일로 발송,아이디 확인 메일 발송,필수
34,UI / UX,낮음,,No,사용자 관리,아이디 찾기,계정찾기,가입되지 않은 이메일/전화번호 시 안내 메시지,존재하지 않는 계정,필수
35,기능,중,,No,사용자 관리,아이디 찾기,계정찾기,일정 시간 내 반복 요청 제한,중복 요청 방지,중간
36,UI / UX,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,비밀번호 찾기 폼 (아이디 또는 이메일 입력),비밀번호 찾기 페이지,필수
37,기능,중,,No,사용자 관리,비밀번호 찾기,계정찾기,아이디와 이메일 입력으로 본인 확인,아이디로 비밀번호 찾기,필수
38,기능,중,,No,사용자 관리,비밀번호 찾기,계정찾기,이메일 입력으로 본인 확인,이메일로 비밀번호 찾기,필수
39,데이터,중,,No,사용자 관리,비밀번호 찾기,계정찾기,본인 확인 후 비밀번호 재설정 링크 발송,인증 이메일 발송,필수
40,기능,중,,No,사용자 관리,비밀번호 찾기,계정찾기,이메일의 인증 링크 클릭으로 재설정 페이지 이동,인증 링크 클릭,필수
41,기능,중,,No,사용자 관리,비밀번호 찾기,계정찾기,이메일로 받은 인증 코드 입력 방식,인증 코드 입력,높음
42,데이터,중,,No,사용자 관리,비밀번호 찾기,계정찾기,인증 링크/코드 유효 시간 설정 (예: 30분),인증 시간 제한,필수
43,UI / UX,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,새로운 비밀번호 입력 화면,새 비밀번호 입력,필수
44,기능,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,새 비밀번호 강도 검증 (대소문자/ 숫자/ 특수문자),새 비밀번호 유효성 검사,필수
45,기능,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,새 비밀번호와 재확인 일치 여부 확인,새 비밀번호 재확인,필수
46,기능,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,이전 비밀번호와 동일한 비밀번호 설정 불가,기존 비밀번호와 중복 방지,중간
47,UI / UX,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,비밀번호 변경 완료 메시지 표시,비밀번호 변경 완료,필수
48,기능,낮음,,No,사용자 관리,비밀번호 찾기,계정찾기,비밀번호 변경 후 로그인 페이지로 이동,자동 로그인 페이지 이동,중간
49,UI / UX,낮음,,No,사용자 관리,오류 처리,계정찾기,가입되지 않은 아이디/이메일 시 안내 메시지,존재하지 않는 계정,필수
50,UI / UX,중,,No,사용자 관리,오류 처리,계정찾기,인증 실패 시 재시도 옵션 제공,인증 실패 처리,필수
51,UI / UX,중,,No,사용자 관리,오류 처리,계정찾기,인증 코드 만료 시 재발송 옵션 제공,인증 코드 만료,필수
52,UI / UX,중,,No,사용자 관리,오류 처리,계정찾기,일정 시간 내 반복 요청 시 차단 메시지,중복 요청 제한,높음
53,UI / UX,중,,No,사용자 관리,오류 처리,계정찾기,프로세스 중 서버 오류 발생 시 처리 방안,서버 오류 처리,높음
54,UI / UX,낮음,,No,사용자 관리,약관 조회,약관관리,로그인 화면에서 이용약관 버튼 클릭 시 약관 내용 팝업/페이지 표시,이용약관 조회,필수
55,UI / UX,낮음,,No,사용자 관리,약관 조회,약관관리,로그인 화면에서 개인정보처리방침 버튼 클릭 시 내용 팝업/페이지 표시,개인정보처리방침 조회,필수
56,기능,낮음,,No,사용자 관리,약관 조회,약관관리,약관 전문 스크롤 가능,약관 스크롤,중간
57,기능,낮음,,No,사용자 관리,약관 조회,약관관리,약관 팝업 닫기 버튼,약관 닫기,필수
58,UI / UX,낮음,,No,UI / UX/UX,로고,헤더,헤더 중앙에 로고 표시,로고 표시,필수
59,기능,낮음,,No,UI / UX/UX,로고,헤더,로고 클릭 시 메인페이지로 이동,로고 클릭,필수
60,UI / UX,낮음,,No,계탐색,검색창,검색영역,계 탐색 페이지에 플레이스홀더 형식의 검색 입력 필드 표시,검색 입력 필드 표시,필수
61,UI / UX,낮음,,No,계탐색,검색창,검색영역,"검색 입력 필드에 ""계를 검색해주세요"" 등의 플레이스홀더 텍스트 표시",검색 플레이스홀더 텍스트,필수
62,UI / UX,낮음,,No,계탐색,검색창,검색영역,검색 입력 필드 옆에 돋보기 버튼 표시,검색 돋보기 버튼,필수
63,기능,중,,No,계탐색,검색창,검색영역,돋보기 버튼 클릭 시 검색 수행,검색 버튼 클릭,필수
64,기능,중,,No,계탐색,검색창,검색영역,검색 입력 필드에서 Enter 키 입력 시 검색 수행,Enter 키 검색,중
65,기능,중,,No,계탐색,검색창,검색영역,"빈 검색어로 검색 시도 시 ""검색어를 입력해주세요"" 메시지 표시",검색 입력 유효성 검사,필수
66,기능,낮음,,No,UI / UX/UX,검색,헤더,입력한 키워드에 따른 검색 결과 표시 페이지 이동,검색 버튼 클릭,필수
67,UI / UX,낮음,,No,UI / UX/UX,메뉴,헤더,"헤더에 ""나의 계"" 메뉴 버튼 표시",나의 계 메뉴 표시,필수
68,기능,낮음,,No,UI / UX/UX,메뉴,헤더,나의 계 메뉴 클릭 시 나의 계 페이지로 이동,나의 계 클릭,필수
69,데이터,중,,No,UI / UX/UX,메뉴,헤더,나의 계 메뉴에 페이지 URL 연결,나의 계 페이지 링크,필수
70,UI / UX,낮음,,No,UI / UX/UX,사용자정보,헤더,헤더 중앙에 내정보 버튼 표시,내 정보 버튼 표시,필수
71,기능,낮음,,No,UI / UX/UX,사용자정보,헤더,내정보 버튼 클릭 시 내정보 페이지로 이동,내 정보 버튼 클릭,필수
72,UI / UX,낮음,,No,UI / UX/UX,사용자정보,헤더,헤더 우측에 로그인한 유저의 닉네임 표시,닉네임 표시,필수
73,UI / UX,낮음,,No,UI / UX/UX,사용자정보,헤더,헤더 우측에 현재 지갑 잔액 표시,잔액 표시,필수
74,UI / UX,낮음,,No,UI / UX/UX,충전,헤더,잔액 옆 충전 버튼 표시,충전 버튼 표시,필수
75,기능,낮음,,No,UI / UX/UX,충전,헤더,충전 버튼 클릭 시 잔액 충전 페이지로 이동,충전 페이지 이동,필수
76,UI / UX,중,,No,UI / UX/UX,반응형,헤더,모바일에서 헤더 반응형 처리,모바일 헤더,높음
77,기능,중,,No,UI / UX/UX,오류 처리,헤더,세션 만료 시 로그인 페이지로 이동,로그인 만료,높음
78,UI / UX,중,,No,UI / UX/UX,오류 처리,헤더,닉네임 조회 실패 시 처리 방안,닉네임 로딩 실패,높음
79,UI / UX,중,,No,UI / UX/UX,오류 처리,헤더,지갑 잔액 조회 실패 시 처리 방안,잔액 조회 실패,높음
80,UI / UX,중,,No,UI / UX/UX,오류 처리,헤더,네트워크 오류 시 이전 페이지로 돌아가기,네트워크 오류,높음
81,UI / UX,낮음,,No,메인페이지,섹션 구조,히어로섹션,헤더 아래 메인페이지 최상단에 이벤트 배너 섹션 표시,이벤트 배너 섹션,필수
82,UI / UX,낮음,,No,메인페이지,배너 표시,히어로섹션,이벤트 배너 이미지 풀 너비로 표시,배너 이미지 표시,필수
83,UI / UX,낮음,,No,메인페이지,배너 표시,히어로섹션,배너 높이 일정하게 유지 (예: 200-300px),배너 높이 설정,필수
84,UI / UX,중,,No,메인페이지,슬라이드,히어로섹션,여러 이벤트 배너를 슬라이드 형식으로 표시,슬라이드 형식,필수
85,UI / UX,중,,No,메인페이지,슬라이드,히어로섹션,이전 배너로 이동하는 버튼 표시,슬라이드 이전 버튼,필수
86,UI / UX,중,,No,메인페이지,슬라이드,히어로섹션,다음 배너로 이동하는 버튼 표시,슬라이드 다음 버튼,필수
87,기능,중,,No,메인페이지,슬라이드,히어로섹션,배너가 일정 시간 간격(예: 5초)으로 자동 전환,슬라이드 자동 재생,필수
88,기능,중,,No,메인페이지,슬라이드,히어로섹션,마우스 호버 또는 터치 시 자동 재생 일시 정지,자동 재생 일시 정지,필수
89,기능,중,,No,메인페이지,슬라이드,히어로섹션,마우스 떠나기 또는 터치 해제 시 자동 재생 재개,자동 재생 재개,필수
90,UI / UX,낮음,,No,메인페이지,슬라이드,히어로섹션,현재 배너 위치 표시 (점 형태의 인디케이터),슬라이드 페이지 인디케이터,필수
91,기능,중,,No,메인페이지,슬라이드,히어로섹션,인디케이터 클릭으로 특정 배너로 바로 이동,인디케이터 클릭,중간
92,UI / UX,중,,No,메인페이지,Framer-motion,히어로섹션,배너 전환 시 부드러운 애니메이션 효과,슬라이드 전환 애니메이션,중간
93,데이터,낮음,,No,메인페이지,Framer-motion,히어로섹션,슬라이드 전환 속도 설정 (예: 0.5초),슬라이드 속도 설정,중간
94,기능,중,,No,메인페이지,Framer-motion,히어로섹션,좌우 드래그로 배너 전환 가능,드래그 제스처,필수
95,기능,중,,No,메인페이지,Framer-motion,히어로섹션,스와이프 제스처로 배너 전환,터치 스와이프,필수
96,기능,낮음,,No,메인페이지,Framer-motion,히어로섹션,배너 클릭 시 해당 이벤트 상세 페이지로 이동,배너 클릭,필수
97,데이터,중,,No,메인페이지,permerlink,히어로섹션,각 배너에 이벤트 URL 또는 페이지 링크 연결,배너 링크 연결,필수
98,UI / UX,중,,No,메인페이지,반응형,히어로섹션,데스크톱 화면에서 배너 레이아웃,레이아웃,필수
99,UI / UX,중,,No,메인페이지,반응형,히어로섹션,태블릿/모바일 화면에서 배너 반응형 처리,레이아웃,필수
100,데이터,중,,No,메인페이지,lazy-load,히어로섹션,배너 이미지 크기 최적화 (용량 압축),이미지 최적화,높음
101,기능,중,,No,메인페이지,lazy-load,히어로섹션,배너 로딩 시간 최소화 (예: 1초 이내),배너 로딩 속도,높음
102,기능,중,,No,메인페이지,Framer-motion,히어로섹션,슬라이드 전환 시 부드러운 성능 유지,슬라이드 성능 최적화,높음
103,데이터,중,,No,메인페이지,lazy-load,히어로섹션,배너 이미지 캐싱으로 재로딩 속도 개선,배너 이미지 캐싱,높음
104,UI / UX,낮음,,No,메인페이지,접근성,히어로섹션,이미지에 alt 텍스트 제공 (시각장애인 접근성),배너 대체 텍스트,필수
105,UI / UX,중,,No,메인페이지,오류 처리,히어로섹션,배너 이미지 로드 실패 시 대체 이미지 표시,배너 이미지 로드 실패,높음
106,UI / UX,낮음,,No,메인페이지,오류 처리,히어로섹션,표시할 배너가 없을 때 준비중 페이지 혹은 이미지 처리,빈 배너 상태,필수
107,UI / UX,낮음,,No,메인페이지,계생성,카테고리버튼,카테고리 섹션 좌측에 계 생성 버튼 표시,새로운 계 생성 버튼 표시,필수
108,UI / UX,낮음,,No,메인페이지,계생성,카테고리버튼,"아이콘 아래에 ""계 생성하기"" 텍스트 표시 (연한 글씨)",버튼 텍스트 표시,필수
109,UI / UX,낮음,,No,메인페이지,계생성,카테고리버튼,텍스트를 연한 회색 또는 약한 톤으로 표시,텍스트 스타일,필수
110,기능,낮음,,No,메인페이지,계생성,카테고리버튼,버튼 클릭 시 계 생성 페이지로 이동,버튼 클릭,필수
111,UI / UX,중,,No,메인페이지,계생성,카테고리버튼,버튼 크기 자동 조정,반응형,필수
112,데이터,중,,No,메인페이지,계생성,카테고리버튼,버튼에 계 생성 페이지 URL 연결,계생성 페이지 링크,필수
113,UI / UX,낮음,,No,메인페이지,섹션 구조,카테고리버튼,이벤트 배너 아래 메인페이지에 카테고리 버튼 섹션 표시,카테고리 버튼 섹션,필수
114,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,취미 카테고리 제목과 함께 섹션 표시,취미 카테고리 섹션,필수
115,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,"취미 카테고리 섹션에 ""취미""라는 제목 표시",취미 카테고리 제목,필수
116,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,취미 카테고리에 속한 모든 취미 버튼 표시,취미 버튼 리스트,필수
117,UI / UX,중,,No,메인페이지,취미카테고리,카테고리버튼,취미 버튼들을 그리드 또는 수평 스크롤 형식으로 배치,취미 버튼 레이아웃,필수
118,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,각 취미 버튼에 아이콘 및 텍스트 표시,취미 버튼 디자인,필수
119,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,"취미 버튼에 취미 이름 표시 (예: ""술""/ ""여행""/ ""게임""/ ""영화""/ ""음식"" 등)",취미 버튼 텍스트,필수
120,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,각 취미 버튼에 해당하는 아이콘 표시,취미 버튼 아이콘,중간
121,데이터,낮음,,No,메인페이지,취미카테고리,카테고리버튼,취미 카테고리에 표시할 버튼 개수 설정,취미 버튼 개수,필수
122,UI / UX,낮음,,No,메인페이지,취미카테고리,카테고리버튼,마우스 호버 시 버튼 색상/크기 변화,취미 버튼 호버 상태,중간
123,기능,낮음,,No,메인페이지,취미카테고리,카테고리버튼,취미 버튼 클릭 시 해당 취미 모임 목록 페이지로 이동,취미 버튼 클릭,필수
124,데이터,중,,No,메인페이지,취미카테고리,카테고리버튼,각 취미 버튼에 해당 취미 모임 목록 페이지 URL 연결,취미별 모임 링크,필수
125,UI / UX,중,,No,메인페이지,스크롤,카테고리버튼,카드 제한(최대 7개)으로 버튼으로 변경,수평 스크롤 가능,필수
126,UI / UX,낮음,,No,메인페이지,스크롤,카테고리버튼,수평 스크롤 가능할 때 좌우 화살표 버튼 표시,스크롤 화살표,중간
127,기능,중,,No,메인페이지,스크롤,카테고리버튼,모든 버튼이 보일 때 스크롤 화살표 자동 숨김,스크롤 자동 숨김,중간
128,UI / UX,중,,No,메인페이지,반응형,카테고리버튼,데스크톱 화면에서 카테고리 버튼 레이아웃,레이아웃,필수
129,UI / UX,중,,No,메인페이지,반응형,카테고리버튼,모바일 화면에서 반응형 처리,레이아웃,높음
130,UI / UX,낮음,,No,메인페이지,반응형,카테고리버튼,화면 크기에 따라 버튼 크기 자동 조정,버튼 크기 조정,중간
131,데이터,중,,No,메인페이지,성능,카테고리버튼,버튼 아이콘 이미지 최적화 (SVG 또는 압축),버튼 이미지 최적화,높음
132,기능,중,,No,메인페이지,성능,카테고리버튼,버튼 로딩 시간 최소화,버튼 로딩 속도,높음
133,기능,중,,No,메인페이지,성능,카테고리버튼,버튼 클릭 후 모임 목록 페이지 로딩 시간 최소화,페이지 전환 속도,높음
134,데이터,중,,No,메인페이지,데이터 관리,카테고리버튼,성격/취미 카테고리 데이터 동적 조회,카테고리 데이터 조회,필수
135,데이터,중,,No,메인페이지,데이터 관리,카테고리버튼,카테고리 데이터 캐싱으로 성능 개선,카테고리 데이터 캐싱,높음
136,UI / UX,낮음,,No,메인페이지,접근성,카테고리버튼,버튼 텍스트 명확하고 읽기 쉽게 표시,텍스트 명확성,필수
137,UI / UX,중,,No,메인페이지,오류 처리,카테고리버튼,카테고리 데이터 로드 실패 시 재시도 옵션 제공,카테고리 데이터 로드 실패,높음
138,UI / UX,중,,No,메인페이지,오류 처리,카테고리버튼,버튼 클릭 후 페이지 로딩 오류 시 처리,버튼 클릭 오류,높음
139,UI / UX,중,,No,메인페이지,오류 처리,카테고리버튼,네트워크 오류 시 재시도 옵션 제공,네트워크 오류,높음
140,UI / UX,낮음,,No,메인페이지,오류 처리,카테고리버튼,아이콘 이미지 로드 실패 시 대체 아이콘 또는 텍스트만 표시,아이콘 로드 실패,중간
141,UI / UX,낮음,,No,메인페이지,오류 처리,카테고리버튼,표시할 카테고리가 없을 때 적절한 메시지 표시,빈 카테고리 상태,필수
142,UI / UX,낮음,,No,메인페이지,섹션 구조,분류별추천모임,메인페이지에 여러 분류의 추천 모임 섹션 표시,분류별 추천 모임 섹션,필수
143,UI / UX,낮음,,No,메인페이지,섹션 구조,분류별추천모임,"각 분류별로 제목 표시 (예: ""현재 인기 있는 계"")",각 분류 제목 표시,필수
144,데이터,낮음,,No,메인페이지,섹션 구조,분류별추천모임,분류 순서: 현재 인기 있는 계 → 취미 유사 → 성향 유사,분류 배열 순서,필수
145,UI / UX,낮음,,No,메인페이지,인기모임,분류별추천모임,현재 인기 있는 계 분류 섹션 표시,현재 인기 있는 계 섹션,필수
146,데이터,높음,,No,메인페이지,인기모임,분류별추천모임,최근 참여 수/ 조회 수 등을 기반으로 인기도 계산,인기도 기반 정렬,필수
147,UI / UX,낮음,,No,메인페이지,인기모임,분류별추천모임,인기도가 높은 모임들을 슬라이드 형식으로 노출 (20개),인기 모임 리스트 노출,필수
148,UI / UX,낮음,,No,메인페이지,취미유사,분류별추천모임,나와 취미가 비슷한 계 분류 섹션 표시,나와 취미가 비슷한 계 섹션,필수
149,데이터,중,,No,메인페이지,취미유사,분류별추천모임,회원가입 시 입력한 사용자의 취미 정보 조회,사용자 취미 정보 조회,필수
150,데이터,높음,,No,메인페이지,취미유사,분류별추천모임,사용자 취미와 모임 카테고리/태그 비교하여 매칭,취미 매칭 알고리즘,필수
151,UI / UX,낮음,,No,메인페이지,취미유사,분류별추천모임,취미가 유사한 모임들을 슬라이드 형식으로 노출 (20개),취미 유사 모임 리스트,필수
152,UI / UX,낮음,,No,메인페이지,성향유사,분류별추천모임,나와 성향이 비슷한 계 분류 섹션 표시,나와 성향이 비슷한 계 섹션,필수
153,데이터,중,,No,메인페이지,성향유사,분류별추천모임,회원가입 시 입력한 사용자의 성향 정보 조회,사용자 성향 정보 조회,필수
154,UI / UX,중,,No,메인페이지,슬라이드,분류별추천모임,각 분류마다 수평 슬라이드 형식으로 모임 카드 노출,슬라이드 형식 표시,필수
155,UI / UX,낮음,,No,메인페이지,슬라이드,분류별추천모임,한 화면에 표시할 모임 카드 개수 (예: 3-4개 노출/ 슬라이드로 20개 모두 조회 가능),한 번에 표시 개수,필수
156,UI / UX,중,,No,메인페이지,슬라이드,분류별추천모임,슬라이드 이전/다음 버튼 표시,슬라이드 네비게이션,필수
157,UI / UX,낮음,,No,메인페이지,슬라이드,분류별추천모임,현재 슬라이드 위치 표시 (바),슬라이드 페이지 인디케이터,중간
158,기능,중,,No,메인페이지,슬라이드,분류별추천모임,슬라이드를 드래그로 조작 가능,슬라이드 드래그 제스처,높음
159,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,슬라이드 내 모임 카드 일관된 레이아웃 유지,모임 카드 레이아웃,필수
160,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 카드에 썸네일 처리(메타태그 구분),모임 대표 이미지,필수
161,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 이름 표시,모임 제목,필수
162,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 소개 텍스트 (1-2줄) 표시,모임 짧은 설명,필수
163,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 현재 참여 멤버 수 표시,모임 멤버 수,높음
164,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 개최 지역/위치 표시,모임 위치 정보,중간
165,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 관련 카테고리 표시,모임 카테고리,중간
166,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,모임 카드 우측 하단에 신청하기 버튼 표시,신청하기 버튼 표시,필수
167,기능,중,,No,메인페이지,모임카드,분류별추천모임,신청하기 버튼 클릭 시 확인 팝업 표시,신청하기 버튼 클릭,필수
168,UI / UX,중,,No,메인페이지,모임카드,분류별추천모임,정말로 신청할거야? 확인 메시지 팝업,신청 확인 팝업,필수
169,기능,낮음,,No,메인페이지,모임카드,분류별추천모임,"팝업의 ""예"" 버튼으로 신청 진행",팝업 확인 버튼,필수
170,기능,낮음,,No,메인페이지,모임카드,분류별추천모임,"팝업의 ""아니오"" 버튼으로 팝업 닫기",팝업 취소 버튼,필수
171,데이터,중,,No,메인페이지,모임카드,분류별추천모임,"신청 후 상태를 ""신청대기중"" 으로 변경",신청 대기 상태,필수
172,데이터,중,,No,메인페이지,모임카드,분류별추천모임,사용자의 신청 정보를 DB에 저장,신청 내역 저장,필수
