No,기능유형,난이도,수정내용,수정여부,업무 구분 (대분류),업무 구분 (소분류),업무 구분 (중분류),요구사항 내용,요구사항명,중요도
173,데이터,높음,,No,메인페이지,모임카드,분류별추천모임,신청한 사용자를 모임장이 승인할 때까지 대기,모임장 승인 대기,필수
174,기능,중,,No,메인페이지,모임카드,분류별추천모임,이미 신청 또는 가입한 모임은 버튼 비활성화,중복 신청 방지,필수
175,UI / UX,낮음,,No,메인페이지,모임카드,분류별추천모임,"신청 후 버튼을 ""신청완료"" 또는 ""신청취소"" 로 변경",버튼 상태 변경,필수
176,UI / UX,중,,No,메인페이지,반응형,분류별추천모임,데스크톱 화면에서 슬라이드 레이아웃 (3-4개 노출),데스크톱 슬라이드,필수
177,UI / UX,중,,No,메인페이지,반응형,분류별추천모임,태블릿 화면에서 반응형 슬라이드 처리,태블릿 슬라이드,높음
178,UI / UX,중,,No,메인페이지,반응형,분류별추천모임,모바일 화면에서 슬라이드 반응형 처리 (1-2개 노출),모바일 슬라이드,필수
179,데이터,높음,,No,메인페이지,캐시/성능,분류별추천모임,추천 데이터 캐시하여 로딩 성능 개선,추천 데이터 캐싱,높음
180,데이터,중,,No,메인페이지,캐시/성능,분류별추천모임,모임 카드 이미지 최적화 (용량 압축),이미지 최적화,높음
181,기능,높음,,No,메인페이지,캐시/성능,분류별추천모임,분류별 추천 모임 섹션 로딩 시간 최소화,페이지 로딩 속도,높음
182,기능,중,,No,메인페이지,캐시/성능,분류별추천모임,슬라이드 전환 시 부드러운 애니메이션 및 성능 최적화,슬라이드 성능 최적화,높음
183,UI / UX,낮음,,No,메인페이지,오류 처리,분류별추천모임,"특정 분류에 추천 모임 없을 시 ""모임이 없습니다"" 메시지 - 팝업이나 경고창이 아닌 하드코딩으로 페이지 내 명시",추천 모임 없음,필수
184,UI / UX,중,,No,메인페이지,오류 처리,분류별추천모임,특정 분류 데이터 로드 실패 시 재시도 버튼 제공,분류 데이터 로드 실패,높음
185,UI / UX,중,,No,메인페이지,오류 처리,분류별추천모임,사용자의 취미/성향 정보 조회 실패 시 처리,사용자 정보 조회 실패,높음
186,UI / UX,중,,No,메인페이지,오류 처리,분류별추천모임,일부 분류만 로드 실패했을 때 다른 분류는 표시,부분 로드 실패 처리,높음
187,UI / UX,중,,No,메인페이지,오류 처리,분류별추천모임,네트워크 오류 시 404 페이지,네트워크 오류,높음
188,UI / UX,낮음,,No,메인페이지,오류 처리,분류별추천모임,모임 이미지 로드 실패 시 대체 이미지(플레이스홀더) 표시,이미지 로드 실패,중간
189,UI / UX,낮음,,No,모임상세페이지,배너 이미지,배너섹션,계의 배너 사진을 풀 너비로 표시,배너 이미지 표시,필수
190,UI / UX,낮음,,No,모임상세페이지,배너 이미지,배너섹션,배너 이미지 높이를 일정하게 유지 (예: 300-400px),배너 이미지 높이 설정,필수
191,UI / UX,중,,No,모임상세페이지,메달,배너섹션,"배너 좌측 상단에 ""몇회 모임 진행"" 메달 표시",모임 진행 횟수 메달 표시,필수
192,UI / UX,높음,,No,모임상세페이지,메달,배너섹션,모임 진행 횟수에 따라 메달 색상 변경 (진행 많을수록 고급 색),메달 색상 차등,필수
193,데이터,중,,No,모임상세페이지,메달,배너섹션,메달 등급 기준 설정 (예: 1-5회 동/ 6-10회 은/ 11회 이상 금),메달 등급 기준 설정,필수
194,UI / UX,낮음,,No,모임상세페이지,계정보,배너섹션,배너 아래 좌측에 계의 이름을 큰 글씨로 표시,계 이름 표시,필수
195,UI / UX,낮음,,No,모임상세페이지,계정보,배너섹션,계 이름 아래에 작은 글씨로 계의 설명 텍스트 표시,계 설명 표시,필수
196,UI / UX,낮음,,No,모임상세페이지,계정보,배너섹션,"사람 아이콘과 함께 ""몇명 가입"" 형식으로 표시",가입 인원 표시,필수
197,기능,중,,No,모임상세페이지,계정보,배너섹션,가입 인원 클릭 시 멤버 목록 팝업 노출 (선택사항),가입 인원 클릭,중간
198,UI / UX,낮음,,No,모임상세페이지,금액정보,배너섹션,현재 적립금 라벨 표시,현재 적립금 제목 표시,필수
199,UI / UX,낮음,,No,모임상세페이지,금액정보,배너섹션,xxx 원 형식으로 현재 적립금 표시 (사용한 금액 제외),현재 적립금 금액 표시,필수
200,UI / UX,낮음,,No,모임상세페이지,금액정보,배너섹션,누적 적립금 라벨 표시,누적 적립금 제목 표시,필수
201,UI / UX,낮음,,No,모임상세페이지,금액정보,배너섹션,xxx 원 형식으로 누적 적립금 표시 (사용한 금액 포함),누적 적립금 금액 표시,필수
202,데이터,중,,No,모임상세페이지,금액정보,배너섹션,사용자가 금액 입금/출금 시 실시간으로 금액 자동 업데이트,금액 실시간 갱신,필수
203,UI / UX,낮음,,No,모임상세페이지,금액정보,배너섹션,금액을 천 단위로 쉼표 포맷 (예: 1/000/000 원),금액 포맷팅,필수
204,UI / UX,중,,No,모임상세페이지,레이아웃,배너섹션,좌측: 계 정보(이름/ 설명/ 인원)/ 우측: 금액 정보 레이아웃,좌우 정보 배치,필수
205,UI / UX,낮음,,No,모임상세페이지,레이아웃,배너섹션,좌측과 우측 정보 사이의 간격 일정하게 유지,정보 간격 설정,중간
206,UI / UX,낮음,,No,모임상세페이지,옵션메뉴,배너섹션,계 이름 옆에 톱니바퀴 모양의 옵션 아이콘 표시,옵션 아이콘 표시,필수
207,기능,중,,No,모임상세페이지,옵션메뉴,배너섹션,옵션 아이콘은 모임장 계정에게만 표시,모임장만 옵션 노출,필수
208,기능,중,,No,모임상세페이지,옵션메뉴,배너섹션,일반 멤버는 옵션 아이콘 표시 안함,비모임장 옵션 숨김,필수
209,기능,낮음,,No,모임상세페이지,옵션메뉴,배너섹션,옵션 아이콘 클릭 시 모임 수정 페이지로 이동,옵션 아이콘 클릭,필수
210,UI / UX,중,,No,모임상세페이지,반응형,배너섹션,태블릿/모바일 화면에서 좌우 정보 나란히 표시,레이아웃,필수
211,데이터,중,,No,모임상세페이지,성능,배너섹션,배너 이미지 크기 최적화 (용량 압축),배너 이미지 최적화,높음
212,데이터,중,,No,모임상세페이지,성능,배너섹션,배너 이미지 캐싱으로 로딩 속도 개선,배너 이미지 캐싱,높음
213,기능,중,,No,모임상세페이지,성능,배너섹션,현재/누적 적립금 데이터 빠르게 조회,금액 데이터 조회 성능,높음
214,UI / UX,중,,No,모임상세페이지,오류 처리,배너섹션,배너 이미지 로드 실패 시 대체 이미지 또는 플레이스홀더 표시,배너 이미지 로드 실패,높음
215,UI / UX,중,,No,모임상세페이지,오류 처리,배너섹션,금액 데이터 조회 실패 시 재시도 옵션 제공,금액 데이터 조회 실패,높음
216,UI / UX,중,,No,모임상세페이지,오류 처리,배너섹션,네트워크 오류 시 404 페이지 구분,네트워크 오류,높음
217,UI / UX,중,,No,모임상세페이지,오류 처리,배너섹션,계 이름/ 설명 등 조회 실패 시 404 페이지 구분,계 정보 조회 실패,높음
218,UI / UX,중,,No,모임상세페이지,고정,배너섹션,배너섹션을 제 2 헤더로 페이지 최상단에 고정,배너섹션 고정 위치,필수
219,기능,중,,No,모임상세페이지,고정,배너섹션,사용자가 아래로 스크롤해도 배너섹션은 항상 화면 상단에 표시,스크롤 시 고정 유지,필수
220,데이터,낮음,,No,모임상세페이지,고정,배너섹션,다른 요소 위에 배너섹션이 겹치지 않도록 Z-index 설정,Z-index 설정,필수
221,UI / UX,중,,No,모임상세페이지,고정,배너섹션,고정된 배너섹션 아래에 콘텐츠 영역이 겹치지 않도록 마진 설정,아래 콘텐츠 영역 설정,필수
222,UI / UX,중,,No,모임상세페이지,레이아웃,메뉴콘텐츠,배너 영역 아래를 좌측 메뉴와 우측 콘텐츠로 분할,좌우 분할 레이아웃,필수
223,UI / UX,낮음,,No,모임상세페이지,레이아웃,메뉴콘텐츠,좌측에 세로 방향의 메뉴 목록 표시,좌측 메뉴 영역,필수
224,UI / UX,낮음,,No,모임상세페이지,레이아웃,메뉴콘텐츠,우측에 선택된 메뉴의 콘텐츠 영역 표시,우측 콘텐츠 영역,필수
225,UI / UX,낮음,,No,모임상세페이지,레이아웃,메뉴콘텐츠,좌측 메뉴: 20-25%/ 우측 콘텐츠: 75-80% 비율 설정,영역 비율 설정,필수
226,UI / UX,낮음,,No,모임상세페이지,좌측메뉴,메뉴콘텐츠,"좌측 메뉴에 ""우리 소식"" 항목 표시",우리 소식 메뉴,필수
227,UI / UX,낮음,,No,모임상세페이지,좌측메뉴,메뉴콘텐츠,"좌측 메뉴에 ""우리 일정"" 항목 표시",우리 일정 메뉴,필수
228,UI / UX,낮음,,No,모임상세페이지,좌측메뉴,메뉴콘텐츠,"좌측 메뉴에 ""우리 이력"" 항목 표시",우리 이력 메뉴,필수
229,UI / UX,낮음,,No,모임상세페이지,좌측메뉴,메뉴콘텐츠,"좌측 메뉴에 ""우리 모임"" 항목 표시",우리 모임 메뉴,필수
230,UI / UX,낮음,,No,모임상세페이지,좌측메뉴,메뉴콘텐츠,"좌측 메뉴에 ""우리 승인"" 항목 표시",우리 승인 메뉴,필수
231,데이터,낮음,,No,모임상세페이지,좌측메뉴,메뉴콘텐츠,메뉴 순서: 우리 소식 → 우리 일정 → 우리 이력 → 우리 모임 → 우리 승인,메뉴 순서,필수
232,기능,중,,No,모임상세페이지,우리승인,메뉴콘텐츠,우리 승인 메뉴는 모임장 계정에게만 표시,우리 승인 모임장만 노출,필수
233,기능,중,,No,모임상세페이지,우리승인,메뉴콘텐츠,"일반 멤버에게는 ""우리 승인"" 메뉴 표시 안함",우리 승인 비모임장 숨김,필수
234,기능,중,,No,모임상세페이지,우리승인,메뉴콘텐츠,모임장 여부를 확인한 후 메뉴 노출 여부 결정,우리 승인 권한 확인,필수
235,기능,낮음,,No,모임상세페이지,메뉴클릭,메뉴콘텐츠,좌측 메뉴 항목 클릭 시 반응,메뉴 클릭,필수
236,UI / UX,중,,No,모임상세페이지,메뉴클릭,메뉴콘텐츠,메뉴 선택 시 우측 콘텐츠 영역이 해당 메뉴의 콘텐츠로 동적 변경,콘텐츠 영역 변경,필수
237,기능,중,,No,모임상세페이지,메뉴클릭,메뉴콘텐츠,AJAX 또는 클라이언트 사이드 렌더링으로 새로고침 없이 콘텐츠 전환,페이지 새로고침 없이 변경,필수
238,UI / UX,중,,No,모임상세페이지,메뉴클릭,메뉴콘텐츠,콘텐츠 로딩 중 로딩 인디케이터 또는 스피너 표시,콘텐츠 로드 상태 표시,중간
239,UI / UX,낮음,,No,모임상세페이지,활성상태,메뉴콘텐츠,현재 선택된 메뉴 항목에 활성 상태 하이라이트 표시 (색상/배경색),활성 메뉴 하이라이트,필수
240,UI / UX,낮음,,No,모임상세페이지,활성상태,메뉴콘텐츠,비활성 메뉴는 기본 색상으로 표시,비활성 메뉴 스타일,필수
241,데이터,낮음,,No,모임상세페이지,디폴트,메뉴콘텐츠,"페이지 진입 시 ""우리 소식"" 메뉴를 기본값으로 활성화",디폴트 메뉴 설정,필수
242,UI / UX,중,,No,모임상세페이지,디폴트,메뉴콘텐츠,"페이지 진입 시 ""우리 소식"" 콘텐츠가 우측 영역에 자동 표시",디폴트 콘텐츠 표시,필수
243,UI / UX,낮음,,No,모임상세페이지,디폴트,메뉴콘텐츠,"페이지 진입 시 ""우리 소식"" 메뉴에 활성 상태 하이라이트 적용",디폴트 메뉴 하이라이트,필수
244,UI / UX,낮음,,No,모임상세페이지,메뉴스타일,메뉴콘텐츠,마우스 호버 시 메뉴 항목 색상 변화 또는 배경색 음영 처리 (선택 사항),메뉴 호버 상태,중간
245,UI / UX,낮음,,No,모임상세페이지,메뉴스타일,메뉴콘텐츠,메뉴 텍스트 크기를 일정하게 설정 (예: 16px),메뉴 폰트 크기,필수
246,UI / UX,낮음,,No,모임상세페이지,메뉴스타일,메뉴콘텐츠,메뉴 항목의 위아래 좌우 여백(패딩) 일정하게 설정,메뉴 패딩,필수
247,UI / UX,낮음,,No,모임상세페이지,메뉴스타일,메뉴콘텐츠,메뉴 항목들 사이의 간격 일정하게 유지,메뉴 간격,필수
248,기능,중,,No,모임상세페이지,콘텐츠영역,메뉴콘텐츠,선택된 메뉴에 맞춰 콘텐츠를 동적으로 로드,콘텐츠 동적 로드,필수
249,UI / UX,중,,No,모임상세페이지,콘텐츠영역,메뉴콘텐츠,우측 콘텐츠 영역에 스크롤 바 표시 (콘텐츠가 길 경우),콘텐츠 스크롤,필수
250,UI / UX,낮음,,No,모임상세페이지,콘텐츠영역,메뉴콘텐츠,우측 콘텐츠 영역의 최소 높이 설정,콘텐츠 영역 최소 높이,필수
251,UI / UX,중,,No,모임상세페이지,반응형,메뉴콘텐츠,좌측 메뉴(세로)와 우측 콘텐츠 좌우 분할 레이아웃,레이아웃,필수
252,데이터,중,,No,모임상세페이지,성능,메뉴콘텐츠,이전에 로드한 콘텐츠 캐싱으로 재로드 시간 단축,콘텐츠 캐싱,높음
253,기능,중,,No,모임상세페이지,성능,메뉴콘텐츠,필요한 콘텐츠만 로드하여 초기 페이지 로딩 속도 개선,지연 로딩,높음
254,기능,중,,No,모임상세페이지,성능,메뉴콘텐츠,메뉴 클릭 후 콘텐츠 전환 속도 최소화 (예: 0.3초 이내),메뉴 전환 속도,높음
255,UI / UX,중,,No,모임상세페이지,오류처리,메뉴콘텐츠,콘텐츠 로드 실패 시 404 페이지 및 재시도 옵션 제공,콘텐츠 로드 실패,높음
256,UI / UX,중,,No,모임상세페이지,오류처리,메뉴콘텐츠,메뉴 클릭 후 처리 오류 발생 시 적절한 404 페이지,메뉴 클릭 오류,높음
257,UI / UX,중,,No,모임상세페이지,오류처리,메뉴콘텐츠,모임장 권한 확인 실패 시 처리 방안,권한 확인 오류,높음
258,UI / UX,중,,No,모임상세페이지,오류처리,메뉴콘텐츠,네트워크 오류로 콘텐츠 로드 불가 시 재시도 옵션 제공,네트워크 오류,높음
259,UI / UX,낮음,,No,모임상세페이지,섹션구조,우리소식,우리 소식 메뉴 클릭 시 SNS 형태의 게시글 피드 표시,우리소식 피드 섹션,필수
260,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,각 게시글을 카드 형태로 표시,게시글 카드 레이아웃,필수
261,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,게시글 상단 좌측에 작성자 프로필 사진 표시,프로필 사진 표시,필수
262,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,프로필 사진 옆에 작성자 닉네임 표시,회원 닉네임 표시,필수
263,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,"닉네임 아래에 게시글 작성 날짜 표시 (예: ""2024년 12월 23일"")",작성일자 표시,필수
264,기능,낮음,,No,모임상세페이지,게시글,우리소식,"작성일자를 상대시간으로 표시 (예: ""2시간 전"")",상대시간 표시,중간
265,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,작성일자 아래에 게시글 이미지 표시 (선택사항/ MVP 제외),게시글 이미지 표시,필수
266,데이터,중,,No,모임상세페이지,게시글,우리소식,게시글 이미지 용량 최적화 (선택사항),게시글 이미지 최적화,중간
267,UI / UX,중,,No,모임상세페이지,게시글,우리소식,여러 이미지 업로드 및 슬라이드 형태로 표시 (선택사항),게시글 이미지 여러장,중간
268,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,이미지 아래에 작성자가 입력한 글 내용 표시,게시글 내용 표시,필수
269,데이터,낮음,,No,모임상세페이지,게시글,우리소식,글자 제한(1000자),글 내용 길이 제한,중간
270,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,"게시글 우측 상단에 ""..."" (더보기) 메뉴 버튼 표시",게시글 메뉴 버튼,필수
271,UI / UX,중,,No,모임상세페이지,게시글,우리소식,"메뉴 버튼 클릭 시 ""삭제"" 옵션 표시 (본인 + 모임장만)",게시글 삭제 옵션,필수
272,기능,중,,No,모임상세페이지,게시글,우리소식,게시글 작성자 본인만 삭제 가능,본인 게시글 삭제 권한,필수
273,기능,중,,No,모임상세페이지,게시글,우리소식,모임장도 모든 게시글 삭제 가능,모임장 게시글 삭제 권한,필수
274,UI / UX,중,,No,모임상세페이지,게시글,우리소식,"메뉴 버튼 클릭 시 ""수정"" 옵션 표시 (본인만)",게시글 수정 옵션,필수
275,기능,중,,No,모임상세페이지,게시글,우리소식,게시글 작성자 본인만 수정 가능,본인 게시글 수정 권한,필수
276,UI / UX,중,,No,모임상세페이지,게시글,우리소식,"삭제 클릭 시 ""정말로 삭제할거야?"" 확인 팝업 표시",게시글 삭제 확인 팝업,필수
277,기능,중,,No,모임상세페이지,게시글,우리소식,삭제 확인 후 게시글 삭제 및 피드에서 제거,게시글 삭제 완료,필수
278,UI / UX,낮음,,No,모임상세페이지,게시글,우리소식,게시글 삭제 완료 시 토스트 메시지 표시 (선택 사항),게시글 삭제 성공 메시지,중간
279,UI / UX,중,,No,모임상세페이지,게시글,우리소식,게시글 삭제 실패 시 404 페이지,게시글 삭제 실패 처리,높음
280,UI / UX,낮음,,No,모임상세페이지,좋아요반응,우리소식,게시글 내용 아래에 좋아요 반응 버튼 표시,좋아요 반응 버튼 표시,필수
281,데이터,중,,No,모임상세페이지,좋아요반응,우리소식,사용자의 좋아요 반응 갯수를 DB에 저장,좋아요 반응 데이터 저장,필수
282,기능,중,,No,모임상세페이지,좋아요반응,우리소식,좋아요 다시 클릭 시 반응 취소,좋아요 반응 취소,필수
283,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,좋아요 반응 옆에 댓글 버튼 표시,댓글 버튼 표시,필수
284,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,"댓글 버튼 옆에 ""댓글 000개"" 형식으로 갯수 표시",댓글 갯수 표시,필수
285,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,댓글 버튼 아래에 댓글 목록 표시,댓글 목록 표시,필수
286,데이터,중,,No,모임상세페이지,댓글,우리소식,초기 표시 댓글 갯수 제한 (예: 3개만 표시),댓글 표시 갯수 제한,필수
287,UI / UX,중,,No,모임상세페이지,댓글,우리소식,댓글 목록이 많을 경우 댓글 영역에만 스크롤 바 표시,댓글 영역 스크롤,필수
288,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,"댓글이 없을 경우 ""댓글이 없습니다."" 메시지 표시",댓글 없음 메시지,필수
289,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,댓글 없음 메시지를 연한 회색 또는 약한 톤으로 표시,댓글 메시지 스타일,중간
290,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,댓글에 작성자 닉네임 표시,댓글 작성자 표시,필수
291,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,댓글 작성자 아래에 댓글 내용 표시,댓글 내용 표시,필수
292,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,댓글 내용 옆에 작성 날짜 또는 상대시간 표시,댓글 작성일 표시,필수
293,UI / UX,낮음,,No,모임상세페이지,댓글,우리소식,"댓글 우측에 ""..."" (더보기) 메뉴 버튼 표시 (본인 + 모임장만)",댓글 메뉴 버튼,필수
294,UI / UX,중,,No,모임상세페이지,댓글,우리소식,"댓글 메뉴에서 ""삭제"" 옵션 표시 (본인 + 모임장만)",댓글 삭제 옵션,필수
295,기능,중,,No,모임상세페이지,댓글,우리소식,댓글 작성자 본인만 삭제 가능,본인 댓글 삭제 권한,필수
296,기능,중,,No,모임상세페이지,댓글,우리소식,모임장도 모든 댓글 삭제 가능,모임장 댓글 삭제 권한,필수
297,UI / UX,중,,No,모임상세페이지,댓글,우리소식,"댓글 메뉴에서 ""수정"" 옵션 표시 (본인만)",댓글 수정 옵션,필수
298,기능,중,,No,모임상세페이지,댓글,우리소식,댓글 작성자 본인만 수정 가능,본인 댓글 수정 권한,필수
299,UI / UX,중,,No,모임상세페이지,댓글,우리소식,"댓글 삭제 클릭 시 ""정말로 삭제할거야?"" 확인 팝업 표시",댓글 삭제 확인 팝업,필수
300,기능,중,,No,모임상세페이지,댓글,우리소식,댓글 삭제 확인 후 댓글 삭제 및 목록에서 제거,댓글 삭제 완료,필수
301,UI / UX,낮음,,No,모임상세페이지,댓글입력,우리소식,댓글 목록 아래에 댓글 작성 입력창 표시,댓글 입력창 표시,필수
302,UI / UX,낮음,,No,모임상세페이지,댓글입력,우리소식,"입력창에 ""댓글을 입력하세요..."" 같은 플레이스홀더 텍스트 표시",댓글 입력 플레이스홀더,필수
303,UI / UX,낮음,,No,모임상세페이지,댓글입력,우리소식,"댓글 입력창 옆에 ""등록"" 버튼 표시",댓글 등록 버튼,필수
304,기능,중,,No,모임상세페이지,댓글입력,우리소식,엔터 키 입력으로도 댓글 등록 가능,엔터키 등록,필수
305,기능,중,,No,모임상세페이지,댓글입력,우리소식,Shift+엔터로 댓글 내에서 줄바꿈 가능,Shift+엔터 줄바꿈,중간
306,기능,중,,No,모임상세페이지,댓글입력,우리소식,등록 버튼 클릭 시 댓글 등록,댓글 등록 버튼 클릭,필수
307,기능,낮음,,No,모임상세페이지,댓글입력,우리소식,공백만 있는 댓글은 등록 불가,댓글 빈값 방지,필수
308,UI / UX,낮음,,No,모임상세페이지,댓글입력,우리소식,입력값이 없으면 등록 버튼 비활성화(Disabled),댓글 등록 버튼 비활성화,필수
309,기능,중,,No,모임상세페이지,댓글입력,우리소식,댓글 등록 후 입력창 초기화 및 댓글 목록 하단에 추가,댓글 등록 완료,필수
310,UI / UX,낮음,,No,모임상세페이지,댓글입력,우리소식,댓글 등록 성공 시 토스트 메시지 표시,댓글 등록 성공 메시지,중간
311,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,"각 댓글 우측에 ""답글"" 또는 ""대댓글"" 버튼 표시",대댓글 버튼 표시,필수
312,기능,중,,No,모임상세페이지,대댓글,우리소식,대댓글 버튼 클릭 시 대댓글 입력창 표시,대댓글 버튼 클릭,필수
313,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,해당 댓글 아래에 대댓글 입력창 표시,대댓글 입력창 표시,필수
314,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,대댓글 입력창을 댓글보다 들여쓰기(indent)로 표시,대댓글 입력창 들여쓰기,필수
315,기능,중,,No,모임상세페이지,대댓글,우리소식,"대댓글 입력 시 ""@댓글작성자명"" 자동 추가",멘션 기능,필수
316,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,"대댓글 입력창 옆에 ""등록"" 버튼 표시",대댓글 등록 버튼,필수
317,기능,중,,No,모임상세페이지,대댓글,우리소식,대댓글 등록 후 해당 댓글 아래에 추가,대댓글 등록 완료,필수
318,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,각 댓글 아래에 대댓글 목록 표시 (들여쓰기),대댓글 목록 표시,필수
319,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,대댓글에 작성자 닉네임 표시,대댓글 작성자 표시,필수
320,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,대댓글 작성자 아래에 내용 표시,대댓글 내용 표시,필수
321,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,대댓글에 작성 날짜 또는 상대시간 표시,대댓글 작성일 표시,필수
322,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,"대댓글 우측에 ""..."" 메뉴 버튼 표시 (본인 + 모임장만)",대댓글 메뉴 버튼,필수
323,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,"대댓글 메뉴에서 ""삭제"" 옵션 표시 (본인 + 모임장만)",대댓글 삭제 옵션,필수
324,기능,중,,No,모임상세페이지,대댓글,우리소식,대댓글 작성자 본인만 삭제 가능,본인 대댓글 삭제 권한,필수
325,기능,중,,No,모임상세페이지,대댓글,우리소식,모임장도 모든 대댓글 삭제 가능,모임장 대댓글 삭제 권한,필수
326,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,"대댓글 메뉴에서 ""수정"" 옵션 표시 (본인만)",대댓글 수정 옵션,필수
327,기능,중,,No,모임상세페이지,대댓글,우리소식,대댓글 작성자 본인만 수정 가능,본인 대댓글 수정 권한,필수
328,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,"대댓글 삭제 클릭 시 ""정말로 삭제할거야?"" 확인 팝업 표시",대댓글 삭제 확인 팝업,필수
329,기능,중,,No,모임상세페이지,대댓글,우리소식,대댓글 삭제 확인 후 목록에서 제거,대댓글 삭제 완료,필수
330,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,대댓글을 등록순으로 정렬,대댓글 정렬,필수
331,UI / UX,낮음,,No,모임상세페이지,대댓글,우리소식,댓글에 대댓글이 없으면 대댓글 영역 표시 안함,대댓글 없을 때 표시,필수
332,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,대댓글 로드 실패 시 404 페이지,대댓글 로드 실패,높음
333,UI / UX,중,,No,모임상세페이지,대댓글,우리소식,대댓글 등록 실패 시 404 페이지,대댓글 등록 실패,높음
